premise,layer,head,factual%,cf%,delta
verify,5,7,72.8,27.2,0.8428166525363923
verify,5,8,74.0,26.0,0.9065924761295319
verify,5,9,72.6,27.4,0.8410760740041733
verify,5,10,73.6,26.4,0.8861194572448731
verify,5,11,71.8,28.2,0.7812961605787277
verify,6,0,73.0,27.0,0.8635400211811066
verify,6,1,73.8,26.2,0.8971838806867599
verify,6,2,74.2,25.8,0.8914278606176377
verify,6,3,71.8,28.2,0.7965991493463517
verify,6,4,71.6,28.4,0.7831460409164429
verify,6,5,73.6,26.4,0.8520840072631836
verify,6,6,74.0,26.0,0.8862419422864914
verify,6,7,73.0,27.0,0.8606604619026184
verify,6,8,75.2,24.8,0.9263004274368286
verify,6,9,73.0,27.0,0.8348078279495239
verify,6,10,71.2,28.8,0.7707935001850128
verify,6,11,73.2,26.8,0.8722681461572647
verify,7,0,72.4,27.6,0.8849135395288468
verify,7,1,72.2,27.8,0.8223478558063507
verify,7,2,73.4,26.6,0.8634717483520508
verify,7,3,73.4,26.6,0.8934486852884292
verify,7,4,71.6,28.4,0.7976960014104844
verify,7,5,72.8,27.2,0.828826463341713
verify,7,6,74.2,25.8,0.9042709735631943
verify,7,7,72.6,27.4,0.8549833362102508
verify,7,8,74.0,26.0,0.8728490599393844
verify,7,9,72.6,27.4,0.8748817102909088
verify,7,10,72.2,27.8,0.8558929899930954
verify,7,11,71.4,28.6,0.7495535037517548
verify,8,0,70.8,29.2,0.7758695672750473
verify,8,1,73.8,26.2,0.869895205616951
verify,8,2,70.6,29.4,0.7696955572366715
verify,8,3,71.4,28.6,0.7565682225227356
verify,8,4,72.2,27.8,0.8515729050636291
verify,8,5,73.6,26.4,0.9289737280607223
verify,8,6,73.8,26.2,0.8831993622779846
verify,8,7,73.2,26.8,0.862480058312416
verify,8,8,72.6,27.4,0.8297585465908051
verify,8,9,72.0,28.0,0.7939918020963669
verify,8,10,73.2,26.8,0.938811032295227
verify,8,11,72.0,28.0,0.7439443213939667
verify,9,0,73.2,26.8,0.8395304538011551
verify,9,1,73.0,27.0,0.8960532940626145
verify,9,2,73.2,26.8,0.875110317826271
verify,9,3,71.4,28.6,0.8324603105783462
verify,9,4,73.4,26.6,0.868841166973114
verify,9,5,73.2,26.8,0.8437841167449951
verify,9,6,73.0,27.0,0.9084617341756821
verify,9,7,73.2,26.8,0.8694675904512406
verify,9,8,72.8,27.2,0.8337351858615876
verify,9,9,73.0,27.0,0.8578809471130371
verify,9,10,74.2,25.8,0.9084082686901093
verify,9,11,72.4,27.6,0.8045538630485535
verify,10,0,72.0,28.0,0.7852829459905625
verify,10,1,71.8,28.2,0.8003786603212356
verify,10,2,73.0,27.0,0.8396497957706451
verify,10,3,71.8,28.2,0.7835997611284256
verify,10,4,73.8,26.2,0.8771280363798142
verify,10,5,72.8,27.2,0.8117267864942551
verify,10,6,72.4,27.6,0.8654761955738067
verify,10,7,72.4,27.6,0.8238719717264176
verify,10,8,73.2,26.8,0.8223790884017944
verify,10,9,72.6,27.4,0.7946176135540008
verify,10,10,73.2,26.8,0.8670204766988754
verify,10,11,72.4,27.6,0.810383253455162
verify,11,0,72.8,27.2,0.8284512323141098
verify,11,1,71.4,28.6,0.847468445777893
verify,11,2,72.4,27.6,0.8215914536714554
verify,11,3,73.8,26.2,0.8296194958686829
verify,11,4,72.8,27.2,0.846815225481987
verify,11,5,72.0,28.0,0.8235913988351822
