premise,layer,head,factual%,cf%,delta
define,4,10,75.6,24.4,1.1428611220121383
define,4,11,74.8,25.2,1.1296456475257874
define,5,0,74.2,25.8,1.0921208373308182
define,5,1,74.6,25.4,1.1441659845113754
define,5,2,75.6,24.4,1.1219315984249114
define,5,3,74.8,25.2,1.0927286348342895
define,5,4,75.4,24.6,1.136264375090599
define,5,5,74.6,25.4,1.0471301053762436
define,5,6,74.6,25.4,1.1027166197299958
define,5,7,74.4,25.6,1.1008667631149291
define,5,8,75.6,24.4,1.1459059916734695
define,5,9,75.0,25.0,1.1011642849445342
define,5,10,75.2,24.8,1.1627598620653152
define,5,11,73.8,26.2,1.047049992799759
define,6,0,73.6,26.4,1.1002703431844711
define,6,1,76.2,23.8,1.200367520570755
define,6,2,76.6,23.4,1.1689556543827058
define,6,3,73.4,26.6,1.0645253732204438
define,6,4,74.2,25.8,1.100862140417099
define,6,5,74.8,25.2,1.0950498385429381
define,6,6,75.2,24.8,1.1236357526779175
define,6,7,74.6,25.4,1.122974316239357
define,6,8,76.2,23.8,1.1784047533273696
define,6,9,75.4,24.6,1.129690477490425
define,6,10,74.2,25.8,1.0677380994558334
define,6,11,74.4,25.6,1.1237098375558854
define,7,0,74.6,25.4,1.1446857224702836
define,7,1,74.0,26.0,1.117314693212509
define,7,2,75.8,24.2,1.1540057586431502
define,7,3,75.6,24.4,1.1740165357589722
define,7,4,75.2,24.8,1.0978040615320206
define,7,5,74.4,25.6,1.0833868842124939
define,7,6,75.0,25.0,1.145519819021225
define,7,7,75.4,24.6,1.1457381476163864
define,7,8,75.2,24.8,1.1459007662534715
define,7,9,75.4,24.6,1.1264190989732743
define,7,10,75.2,24.8,1.1370545980930329
define,7,11,74.4,25.6,1.0769522988796234
define,8,0,74.6,25.4,1.0792619109153747
define,8,1,75.0,25.0,1.135675339460373
define,8,2,74.4,25.6,1.0863221468925477
define,8,3,74.0,26.0,1.0643383793830872
define,8,4,75.6,24.4,1.149674395084381
define,8,5,75.6,24.4,1.1837334498167038
define,8,6,75.4,24.6,1.1312692292928697
define,8,7,75.0,25.0,1.153721086859703
define,8,8,75.2,24.8,1.1160124020576476
define,8,9,74.4,25.6,1.0761700257062912
define,8,10,75.8,24.2,1.211485816001892
define,8,11,73.8,26.2,1.0639199810028077
define,9,0,75.2,24.8,1.143520449757576
define,9,1,75.4,24.6,1.1801159524917602
define,9,2,75.2,24.8,1.1639560265541076
define,9,3,73.8,26.2,1.121324635744095
define,9,4,75.4,24.6,1.153264145731926
define,9,5,75.6,24.4,1.1266931545734407
define,9,6,75.4,24.6,1.1662041797637939
define,9,7,74.8,25.2,1.1479663825035096
define,9,8,76.2,23.8,1.1185480709075928
define,9,9,75.6,24.4,1.1268074309825897
define,9,10,75.4,24.6,1.1929930365085601
define,9,11,74.6,25.4,1.0910737278461455
define,10,0,74.0,26.0,1.0697934277057648
define,10,1,74.6,25.4,1.0845502457618714
define,10,2,75.2,24.8,1.117066794037819
define,10,3,74.0,26.0,1.0719554597139358
define,10,4,76.2,23.8,1.1563192181587219
define,10,5,75.4,24.6,1.0976256804466247
define,10,6,75.6,24.4,1.1413968609571457
define,10,7,73.8,26.2,1.1096486443281173
define,10,8,76.0,24.0,1.0953093050718308
define,10,9,75.0,25.0,1.0768411648273468
define,10,10,75.0,25.0,1.1425120459794997
define,10,11,73.8,26.2,1.0907024564743042
define,11,0,75.0,25.0,1.107116238117218
define,11,1,74.8,25.2,1.1276050612926483
define,11,2,74.2,25.8,1.0995532621145248
define,11,3,75.4,24.6,1.1106383665800095
define,11,4,75.2,24.8,1.1273922773599625
define,11,5,75.0,25.0,1.1011463820934295
define,11,6,74.8,25.2,1.125150503396988
define,11,7,74.8,25.2,1.1028136993646622
define,11,8,75.0,25.0,1.1200111348628998
define,11,9,74.4,25.6,1.1188017411231994
define,11,10,74.8,25.2,1.1217755824327469
define,11,11,75.0,25.0,1.1165981794595718
verify,0,0,75.4,24.6,1.1738381150960921
verify,0,1,73.6,26.4,1.0943542773723602
verify,0,2,75.2,24.8,1.1656699894666671
verify,0,3,74.6,25.4,1.138343347787857
verify,0,4,74.6,25.4,1.101196632027626
verify,0,5,75.6,24.4,1.182893921494484
verify,0,6,75.0,25.0,1.1677036556005478
verify,0,7,76.2,23.8,1.1973355145454407
verify,0,8,75.2,24.8,1.1394231852293015
verify,0,9,74.8,25.2,1.1941485576629638
verify,0,10,76.0,24.0,1.1804789253473282
verify,0,11,74.8,25.2,1.106173638343811
verify,1,0,75.2,24.8,1.1800613003969191
verify,1,1,76.0,24.0,1.1620002360343933
verify,1,2,75.2,24.8,1.1363702154159545
verify,1,3,75.6,24.4,1.1602191596031188
verify,1,4,76.0,24.0,1.1780248118638992
verify,1,5,74.8,25.2,1.115751540541649
verify,1,6,75.8,24.2,1.158019308924675
verify,1,7,74.6,25.4,1.090250871181488
verify,1,8,74.6,25.4,1.118982528090477
verify,1,9,75.2,24.8,1.1421104338169097
verify,1,10,75.4,24.6,1.1598013657331467
verify,1,11,75.2,24.8,1.1136115847826005
verify,2,0,75.4,24.6,1.0990234897136688
verify,2,1,75.6,24.4,1.1621095478534698
verify,2,2,75.2,24.8,1.1027692310810089
verify,2,3,75.6,24.4,1.1292754774093627
verify,2,4,74.8,25.2,1.1017640155553818
verify,2,5,74.4,25.6,1.0508716107606888
verify,2,6,74.6,25.4,1.1254739799499511
verify,2,7,73.4,26.6,1.0197149229049682
verify,2,8,74.0,26.0,1.10019606256485
verify,2,9,76.0,24.0,1.1726052839756012
verify,2,10,74.8,25.2,1.0664172686338425
verify,2,11,74.4,25.6,1.061541467308998
verify,3,0,74.2,25.8,1.0842437542676926
verify,3,1,75.2,24.8,1.1395526065826416
verify,3,2,75.4,24.6,1.1028879067897797
verify,3,3,75.6,24.4,1.1811452487707137
verify,3,4,75.6,24.4,1.1222274827957153
verify,3,5,74.0,26.0,1.1216208859682084
verify,3,6,74.4,25.6,1.0654141715765
verify,3,7,73.6,26.4,1.08088110601902
verify,3,8,74.2,25.8,1.0896887716054917
verify,3,9,75.6,24.4,1.1661555660963059
verify,3,10,74.8,25.2,1.1347265158891677
verify,3,11,73.8,26.2,1.0319843114614486
verify,4,0,72.6,27.4,0.9610064803361893
verify,4,1,73.4,26.6,1.063558236837387
verify,4,2,74.8,25.2,1.1067614215612411
verify,4,3,74.2,25.8,1.0850964710712432
verify,4,4,74.4,25.6,1.112584197163582
verify,4,5,74.8,25.2,1.1352141296863556
verify,4,6,76.2,23.8,1.1705298702716826
verify,4,7,74.4,25.6,1.107079150557518
verify,4,8,75.6,24.4,1.1324765955209732
verify,4,9,73.2,26.8,1.0109640892744065
verify,4,10,75.6,24.4,1.1428611220121383
verify,4,11,74.8,25.2,1.1296456475257874
verify,5,0,74.2,25.8,1.0921208373308182
verify,5,1,74.6,25.4,1.1441659845113754
verify,5,2,75.6,24.4,1.1219315984249114
verify,5,3,74.8,25.2,1.0927286348342895
verify,5,4,75.4,24.6,1.136264375090599
verify,5,5,74.6,25.4,1.0471301053762436
verify,5,6,74.6,25.4,1.1027166197299958
verify,5,7,74.4,25.6,1.1008667631149291
verify,5,8,75.6,24.4,1.1459059916734695
verify,5,9,75.0,25.0,1.1011642849445342
verify,5,10,75.2,24.8,1.1627598620653152
verify,5,11,73.8,26.2,1.047049992799759
verify,6,0,73.6,26.4,1.1002703431844711
verify,6,1,76.2,23.8,1.200367520570755
verify,6,2,76.6,23.4,1.1689556543827058
verify,6,3,73.4,26.6,1.0645253732204438
verify,6,4,74.2,25.8,1.100862140417099
verify,6,5,74.8,25.2,1.0950498385429381
verify,6,6,75.2,24.8,1.1236357526779175
verify,6,7,74.6,25.4,1.122974316239357
verify,6,8,76.2,23.8,1.1784047533273696
verify,6,9,75.4,24.6,1.129690477490425
verify,6,10,74.2,25.8,1.0677380994558334
verify,6,11,74.4,25.6,1.1237098375558854
verify,7,0,74.6,25.4,1.1446857224702836
verify,7,1,74.0,26.0,1.117314693212509
verify,7,2,75.8,24.2,1.1540057586431502
verify,7,3,75.6,24.4,1.1740165357589722
verify,7,4,75.2,24.8,1.0978040615320206
